feature,n_models_top10,LR_rank,RF_rank,XGBoost_rank,LightGBM_rank
age,4,1.0,2.0,2.0,4.0
rx_med_count,4,2.0,1.0,1.0,6.0
heart_failure_1,2,6.0,,5.0,
income_poverty_ratio,2,,7.0,,7.0
map,2,,,10.0,3.0
nlr,2,,10.0,,10.0
race_3.0,2,8.0,,7.0,
smoke_never_1,2,4.0,,9.0,
vigorous_activity_1,2,10.0,,8.0,
alcohol_drinks_per_week,1,,,,8.0
bmi,1,,,,2.0
bp_medication_1,1,,4.0,,
copd_1,1,9.0,,,
coronary_hd_1,1,7.0,,,
education_2.0,1,,,4.0,
education_5.0,1,3.0,,,
hba1c,1,,8.0,,
hypertension_diagnosis_1,1,,5.0,,
kidney_disease_1,1,5.0,,,
ldl_cholesterol,1,,,,9.0
lymphocytes_count,1,,,6.0,
platelet_count,1,,,,1.0
pulse_pressure,1,,9.0,,
rx_med_use_1,1,,3.0,,
smoke_former_1,1,,,3.0,
systolic_bp,1,,6.0,,
waist_circumference_cm,1,,,,5.0
