feature,n_models_top10,LR_rank,RF_rank,XGBoost_rank,LightGBM_rank
age,4,1.0,1.0,1.0,1.0
income_poverty_ratio,4,5.0,6.0,5.0,6.0
rx_med_count,4,2.0,2.0,2.0,2.0
map,3,6.0,,6.0,9.0
nlr,3,,8.0,3.0,3.0
systolic_bp,3,,7.0,9.0,5.0
waist_circumference_cm,3,10.0,,10.0,7.0
education_5.0,2,3.0,,,8.0
platelet_count,2,,,4.0,4.0
alcohol_drinks_per_week,1,,,7.0,
bp_medication_1,1,,3.0,,
hba1c,1,,9.0,,
hematocrit,1,,,,10.0
hypertension_diagnosis_1,1,,5.0,,
omega3_index,1,,,8.0,
pulse_pressure,1,,10.0,,
race_3.0,1,7.0,,,
rx_med_use_1,1,,4.0,,
sex_2.0,1,8.0,,,
smoke_never_1,1,4.0,,,
wbc_count,1,9.0,,,
