,stroke,age,income_poverty_ratio,bmi,waist_circumference_cm,systolic_bp,diastolic_bp,pulse_pressure,map,hba1c,fasting_glucose,total_cholesterol,hdl_cholesterol,triglycerides,chol_hdl_ratio,omega3_index,alcohol_drinks_per_week,rx_med_count,rdw,mpv,hematocrit,hemoglobin,wbc_count,platelet_count,neutrophils_count,lymphocytes_count,nlr,plr,vascular_risk_score
stroke,1.0,0.1719759422760545,-0.07749498710021477,0.00735615963102389,0.03758083880215256,0.10069977175551618,0.01992120700744495,0.10245134493059181,0.06458313665125376,0.10427393257218136,0.08719121423151724,-0.052386676398294474,0.0019428901252567152,0.03246702912212346,-0.026977222327365696,0.00750748955396031,0.015392773566053949,0.20583710606283612,0.07782499774587724,0.0016690831546418026,-0.005680764227592235,-0.03449711050672185,0.042690860055867655,-0.04676913143857308,0.006485019253445306,-0.020420867067153306,0.037177654689315,0.012989519785074666,0.23161516272365498
age,0.1719759422760545,1.0,0.061555285926407126,0.005730127357968018,0.1569170755264794,0.38090208822042076,-0.008911896356391879,0.44715295931453997,0.19107910282940346,0.2680057628120454,0.200531044374687,-0.02663340933213698,0.048280746912587026,0.01859074256239134,-0.06411723454948344,0.18249378143746006,-0.021356306462680788,0.47233407909584874,0.14909305714328852,-0.04472271204610002,-0.029638293831346536,-0.03356729184829987,-0.05241046393281606,-0.16501807664136198,-0.025464065612800436,-0.1346660488274891,0.15124072967630342,0.0648900440096427,0.4292420206918816
income_poverty_ratio,-0.07749498710021477,0.061555285926407126,1.0,-0.0726484994898028,-0.04387478749305932,-0.02475336985737255,-0.01067809032184259,-0.02109318827603903,-0.019526002356272464,-0.11538289902106791,-0.06856572550026663,0.02397961135738267,0.04977051900559837,-0.07198757894698278,-0.034802846803786786,0.2008913622156763,0.025693469388394334,-0.04834359462112867,-0.15328121192534747,-0.04338323515026713,0.09250024695677629,0.10800530434428805,-0.08121407670614275,-0.05131847512713767,-0.04887580368798698,-0.06056844415629208,-0.005066203290089434,0.006230707413109251,-0.15550979201260015
bmi,0.00735615963102389,0.005730127357968018,-0.0726484994898028,1.0,0.7218687322558541,0.06296391504997281,0.18813648304283254,-0.0602515979597481,0.15131676808843497,0.1904131585662528,0.190157205715416,-0.049817182793271214,-0.13647131926508532,0.16578746351115345,0.06684210164081972,-0.13534825798694997,-0.043069519619933924,0.1830754636008905,0.22135912367079089,0.029086910687877044,-0.017143456966081255,-0.030690008454172708,0.18302288287284393,0.08709940261187189,0.10530137288725895,0.07123119512305295,0.0398770461524346,-0.025220793171941404,0.1827953260207436
waist_circumference_cm,0.03758083880215256,0.1569170755264794,-0.04387478749305932,0.7218687322558541,1.0,0.11127977492721863,0.21875891233831635,-0.026000272743225177,0.19560504474131543,0.26164135218205153,0.2415773906034188,0.0035149121111419084,-0.23829467557388806,0.14431497007185512,0.15342329119139445,-0.1427503001208286,-6.545007711200538e-05,0.2561071766389509,0.20891207405452042,0.01638476011059179,0.06796015306141093,0.06141463656456604,0.16408427675162784,0.04842969378400983,0.145435720168943,0.0725970806982798,0.09979543267570334,-0.03131020952728406,0.27171521453652536
systolic_bp,0.10069977175551618,0.38090208822042076,-0.02475336985737255,0.06296391504997281,0.11127977492721863,1.0,0.5129778759941954,0.7943951958440338,0.8403482870207415,0.1668391895777839,0.14565073246141272,0.025566920183867217,0.026244045957001437,0.05730013674867963,0.01409507362181459,0.04714365979848851,0.10548472061032779,0.1780707546742947,0.08997712054129095,-0.003471046578321158,0.06958475267886885,0.05992162461287634,-0.008551886362995401,-0.08563121490418102,0.016834075560648892,-0.021525780243979442,0.05695080251329518,0.001376693087551524,0.2761344720106172
diastolic_bp,0.01992120700744495,-0.008911896356391879,-0.01067809032184259,0.18813648304283254,0.21875891233831635,0.5129778759941954,1.0,-0.11388717920164787,0.8963740617872399,0.06747325019352798,0.06412858210934338,0.09923779871665553,-0.03262148248171334,0.06825683643982267,0.08495261350370355,-0.06373406024918679,0.10178820303342866,-0.018029682744053827,0.03671699733208705,0.005398041088597239,0.1542189566920829,0.1632932859976299,0.04438654014608224,0.051538946139668626,0.013466584072452138,0.050908559463653684,-0.04362822571423583,-0.02801917014702679,0.05692271705359016
pulse_pressure,0.10245134493059181,0.44715295931453997,-0.02109318827603903,-0.0602515979597481,-0.026000272743225177,0.7943951958440338,-0.11388717920164787,1.0,0.3383287277529127,0.14535191055243,0.12319557042956815,-0.040629676594090926,0.05345704262277217,0.018019575778851174,-0.04379878433005474,0.09966087354846676,0.05006061442789098,0.21885254267087811,0.07815658042107583,-0.007836935486972592,-0.028588911266176083,-0.046193738253398633,-0.041305462926095514,-0.13557623928676693,0.009954461436825471,-0.060936087880107466,0.0967846278816676,0.021419589438826495,0.2793131586957664
map,0.06458313665125376,0.19107910282940346,-0.019526002356272464,0.15131676808843497,0.19560504474131543,0.8403482870207415,0.8963740617872399,0.3383287277529127,1.0,0.1287662911554542,0.11571205811027366,0.07586809351091668,-0.0070461467288671165,0.07269260459479135,0.06092323791407667,-0.015899467641287895,0.11874996620049998,0.0805748079497721,0.06965159019045677,0.0016161211446232462,0.13331834405514342,0.1340581623571736,0.023611954346372397,-0.011677124920465106,0.017197119919436146,0.021030334049593508,0.001861206492078204,-0.0169820423057047,0.1785466481986795
hba1c,0.10427393257218136,0.2680057628120454,-0.11538289902106791,0.1904131585662528,0.26164135218205153,0.1668391895777839,0.06747325019352798,0.14535191055243,0.1287662911554542,1.0,0.7165028953083784,-0.04651065573693811,-0.11426028170898697,0.17026350210660604,0.05838444648995535,-0.008932832804106372,-0.050861489934870066,0.330423222868807,0.16739151745287065,0.03636715801220525,0.015011435331146345,-0.037538996070430666,0.11928432446440856,-0.0054661768161245634,0.03141582239764499,0.028260490705878615,0.01310621154323566,-0.020297976307911865,0.42654756162719076
