threshold,strategy,net_benefit
0.01,treat_all,0.03900112233445567
0.02,treat_all,0.02919501133786848
0.03,treat_all,0.01918671248568156
0.04,treat_all,0.008969907407407406
0.05,treat_all,-0.0014619883040935672
0.060000000000000005,treat_all,-0.012115839243498822
0.06999999999999999,treat_all,-0.022998805256869752
0.08,treat_all,-0.0341183574879227
0.09,treat_all,-0.045482295482295466
0.09999999999999999,treat_all,-0.05709876543209875
0.11,treat_all,-0.06897627965043696
0.12,treat_all,-0.08112373737373738
0.13,treat_all,-0.09355044699872286
0.14,treat_all,-0.10626614987080105
0.15000000000000002,treat_all,-0.11928104575163404
0.16,treat_all,-0.13260582010582012
0.17,treat_all,-0.1462516733601071
0.18000000000000002,treat_all,-0.16023035230352306
0.19,treat_all,-0.17455418381344306
0.2,treat_all,-0.1892361111111111
0.21000000000000002,treat_all,-0.20428973277074547
0.22,treat_all,-0.21972934472934474
0.23,treat_all,-0.23556998556998554
0.24000000000000002,treat_all,-0.251827485380117
0.25,treat_all,-0.2685185185185185
0.26,treat_all,-0.28566066066066065
0.27,treat_all,-0.3032724505327245
0.28,treat_all,-0.3213734567901235
0.29000000000000004,treat_all,-0.33998435054773085
0.3,treat_all,-0.35912698412698413
0.31,treat_all,-0.3788244766505636
0.32,treat_all,-0.3991013071895425
0.33,treat_all,-0.419983416252073
0.34,treat_all,-0.44149831649831656
0.35000000000000003,treat_all,-0.46367521367521375
0.36000000000000004,treat_all,-0.486545138888889
0.37,treat_all,-0.5101410934744267
0.38,treat_all,-0.5344982078853046
0.39,treat_all,-0.5596539162112932
0.01,treat_none,0.0
0.02,treat_none,0.0
0.03,treat_none,0.0
0.04,treat_none,0.0
0.05,treat_none,0.0
0.060000000000000005,treat_none,0.0
0.06999999999999999,treat_none,0.0
0.08,treat_none,0.0
0.09,treat_none,0.0
0.09999999999999999,treat_none,0.0
0.11,treat_none,0.0
0.12,treat_none,0.0
0.13,treat_none,0.0
0.14,treat_none,0.0
0.15000000000000002,treat_none,0.0
0.16,treat_none,0.0
0.17,treat_none,0.0
0.18000000000000002,treat_none,0.0
0.19,treat_none,0.0
0.2,treat_none,0.0
0.21000000000000002,treat_none,0.0
0.22,treat_none,0.0
0.23,treat_none,0.0
0.24000000000000002,treat_none,0.0
0.25,treat_none,0.0
0.26,treat_none,0.0
0.27,treat_none,0.0
0.28,treat_none,0.0
0.29000000000000004,treat_none,0.0
0.3,treat_none,0.0
0.31,treat_none,0.0
0.32,treat_none,0.0
0.33,treat_none,0.0
0.34,treat_none,0.0
0.35000000000000003,treat_none,0.0
0.36000000000000004,treat_none,0.0
0.37,treat_none,0.0
0.38,treat_none,0.0
0.39,treat_none,0.0
0.01,LR,0.04172122459159496
0.02,LR,0.0360607205845301
0.03,LR,0.03070510372915871
0.04,LR,0.028452932098765434
0.05,LR,0.02639701104613385
0.060000000000000005,LR,0.021112424481218806
0.06999999999999999,LR,0.01800411522633745
0.08,LR,0.016438539989264627
0.09,LR,0.014660493827160491
0.09999999999999999,LR,0.01483196159122085
0.11,LR,0.01075045082535719
0.12,LR,0.008066778900112233
0.13,LR,0.009108485880516529
0.14,LR,0.007446884869365487
0.15000000000000002,LR,0.0049927378358750885
0.16,LR,0.002608759553203995
0.17,LR,0.002444965045366651
0.18000000000000002,LR,0.0029923215898825647
0.19,LR,0.003962810547172687
0.2,LR,0.005015432098765432
0.21000000000000002,LR,0.004229176433817783
0.22,LR,0.004451566951566951
0.23,LR,0.0026354818021484686
0.24000000000000002,LR,0.0019493177387914225
0.25,LR,0.0012860082304526751
0.26,LR,0.0011886886886886886
0.27,LR,0.0011732623033992896
0.28,LR,0.001414609053497942
0.29000000000000004,LR,0.0013693270735524255
0.3,LR,0.0005511463844797178
0.31,LR,0.0015432098765432098
0.32,LR,0.0015432098765432098
0.33,LR,0.0
0.34,LR,0.0
0.35000000000000003,LR,0.0
0.36000000000000004,LR,0.0
0.37,LR,0.0
0.38,LR,0.0
0.39,LR,0.0
0.01,RF,0.041378289063474245
0.02,RF,0.03461199294532628
0.03,RF,0.030307369224894992
0.04,RF,0.027745627572016457
0.05,RF,0.023554256010396356
0.060000000000000005,RF,0.019191620698712896
0.06999999999999999,RF,0.01806219301739015
0.08,RF,0.013922436929683306
0.09,RF,0.012430470763804097
0.09999999999999999,RF,0.008744855967078188
0.11,RF,0.007291233180746289
0.12,RF,0.005331088664421998
0.13,RF,0.00436355896126011
0.14,RF,-0.000897215044501869
0.15000000000000002,RF,-0.0007716049382716066
0.16,RF,-0.0006613756613756631
0.17,RF,-0.0003253755763795935
0.18000000000000002,RF,-0.002145438121047878
0.19,RF,-0.0013431641518061267
0.2,RF,-0.00019290123456790122
0.21000000000000002,RF,-0.00044928895139865685
0.22,RF,-0.0011672997784108892
0.23,RF,-0.001533189033189033
0.24000000000000002,RF,-0.0011777128005198182
0.25,RF,-0.0005144032921810698
0.26,RF,-0.0008133133133133133
0.27,RF,0.0
0.28,RF,0.0
0.29000000000000004,RF,0.0
0.3,RF,0.0
0.31,RF,0.0
0.32,RF,0.0
0.33,RF,0.0
0.34,RF,0.0
0.35000000000000003,RF,0.0
0.36000000000000004,RF,0.0
0.37,RF,0.0
0.38,RF,0.0
0.39,RF,0.0
0.01,XGBoost,0.03900112233445567
0.02,XGBoost,0.02919501133786848
0.03,XGBoost,0.01918671248568156
0.04,XGBoost,0.024112654320987654
0.05,XGBoost,0.007675438596491227
0.060000000000000005,XGBoost,0.004695298135014446
0.06999999999999999,XGBoost,0.0027379530067702107
0.08,XGBoost,0.002147074610842726
0.09,XGBoost,0.0005935422602089263
0.09999999999999999,XGBoost,0.0009430727023319622
0.11,XGBoost,-0.00024275211541129136
0.12,XGBoost,-3.507295173961825e-05
0.13,XGBoost,0.00016851142330069494
0.14,XGBoost,-0.00030505311513063463
0.15000000000000002,XGBoost,9.077705156136477e-05
0.16,XGBoost,-4.336808689942018e-19
0.17,XGBoost,-5.5778670236501966e-05
0.18000000000000002,XGBoost,0.00011291779584462472
0.19,XGBoost,-0.00044772138393537556
0.2,XGBoost,-0.00038580246913580245
0.21000000000000002,XGBoost,-0.0012794967963744336
0.22,XGBoost,-0.0011870845204178535
0.23,XGBoost,-0.0008417508417508416
0.24000000000000002,XGBoost,-0.0009340480831708904
0.25,XGBoost,-0.0015432098765432098
0.26,XGBoost,-0.0010844177510844178
0.27,XGBoost,-0.0008561643835616439
0.28,XGBoost,-0.0009002057613168726
0.29000000000000004,XGBoost,-0.0009454877412623892
0.3,XGBoost,-0.000992063492063492
0.31,XGBoost,-0.0010399892646269459
0.32,XGBoost,-0.0010893246187363835
0.33,XGBoost,-0.0011401326699834165
0.34,XGBoost,-0.0007949869060980173
0.35000000000000003,XGBoost,-0.0008309591642924977
0.36000000000000004,XGBoost,-0.0008680555555555557
0.37,XGBoost,-0.0009063296100333137
0.38,XGBoost,-0.0009458383114297092
0.39,XGBoost,-0.000986642380085003
0.01,LightGBM,0.03900112233445567
0.02,LightGBM,0.03602922650541698
0.03,LightGBM,0.028445971744940818
0.04,LightGBM,0.024627057613168725
0.05,LightGBM,0.0228638726445744
0.060000000000000005,LightGBM,0.0188468610454426
0.06999999999999999,LightGBM,0.013573609451745653
0.08,LightGBM,0.011037305421363393
0.09,LightGBM,0.008479175145841811
0.09999999999999999,LightGBM,0.0075445816186556925
0.11,LightGBM,0.00525384935497295
0.12,LightGBM,0.001893939393939394
0.13,LightGBM,0.00015964240102170867
0.14,LightGBM,0.0011484352569623869
0.15000000000000002,LightGBM,-4.538852578068499e-05
0.16,LightGBM,-0.0017269253380364502
0.17,LightGBM,-0.0023612970400119
0.18000000000000002,LightGBM,-0.003933303221921109
0.19,LightGBM,-0.003019737844840725
0.2,LightGBM,-0.0023148148148148147
0.21000000000000002,LightGBM,-0.0022464447569932808
0.22,LightGBM,-0.0022554605887939215
0.23,LightGBM,-0.0023749398749398744
0.24000000000000002,LightGBM,-0.0018680961663417807
0.25,LightGBM,-0.0018004115226337445
0.26,LightGBM,-0.002210543877210544
0.27,LightGBM,-0.0015115000845594452
0.28,LightGBM,-0.0010288065843621402
0.29000000000000004,LightGBM,-0.0004890453834115807
0.3,LightGBM,-0.0002204585537918871
0.31,LightGBM,7.827876185364103e-05
0.32,LightGBM,-0.00036310820624546115
0.33,LightGBM,-0.0003800442233278055
0.34,LightGBM,0.0
0.35000000000000003,LightGBM,0.0
0.36000000000000004,LightGBM,0.0
0.37,LightGBM,0.0
0.38,LightGBM,0.0
0.39,LightGBM,0.0
